     price lotsize bedrooms bathrms stories driveway recroom fullbase gashw
1    42000    5850        3       1       2      yes      no      yes    no
2    38500    4000        2       1       1      yes      no       no    no
3    49500    3060        3       1       1      yes      no       no    no
4    60500    6650        3       1       2      yes     yes       no    no
5    61000    6360        2       1       1      yes      no       no    no
6    66000    4160        3       1       1      yes     yes      yes    no
7    66000    3880        3       2       2      yes      no      yes    no
8    69000    4160        3       1       3      yes      no       no    no
9    83800    4800        3       1       1      yes     yes      yes    no
10   88500    5500        3       2       4      yes     yes       no    no
11   90000    7200        3       2       1      yes      no      yes    no
12   30500    3000        2       1       1       no      no       no    no
13   27000    1700        3       1       2      yes      no       no    no
14   36000    2880        3       1       1       no      no       no    no
15   37000    3600        2       1       1      yes      no       no    no
16   37900    3185        2       1       1      yes      no       no    no
17   40500    3300        3       1       2       no      no       no    no
18   40750    5200        4       1       3      yes      no       no    no
19   45000    3450        1       1       1      yes      no       no    no
20   45000    3986        2       2       1       no     yes      yes    no
21   48500    4785        3       1       2      yes     yes      yes    no
22   65900    4510        4       2       2      yes      no      yes    no
23   37900    4000        3       1       2      yes      no       no    no
24   38000    3934        2       1       1      yes      no       no    no
25   42000    4960        2       1       1      yes      no       no    no
26   42300    3000        2       1       2      yes      no       no    no
27   43500    3800        2       1       1      yes      no       no    no
28   44000    4960        2       1       1      yes      no      yes    no
29   44500    3000        3       1       1       no      no       no    no
30   44900    4500        3       1       2      yes      no       no    no
31   45000    3500        2       1       1       no      no      yes    no
32   48000    3500        4       1       2      yes      no       no    no
33   49000    4000        2       1       1      yes      no       no    no
34   51500    4500        2       1       1      yes      no       no    no
35   61000    6360        2       1       2      yes      no       no    no
36   61000    4500        2       1       1      yes      no       no    no
37   61700    4032        2       1       1      yes      no      yes    no
38   67000    5170        3       1       4      yes      no       no    no
39   82000    5400        4       2       2      yes      no       no    no
40   54500    3150        2       2       1       no      no      yes    no
41   66500    3745        3       1       2      yes      no      yes    no
42   70000    4520        3       1       2      yes      no      yes    no
43   82000    4640        4       1       2      yes      no       no    no
44   92000    8580        5       3       2      yes      no       no    no
45   38000    2000        2       1       2      yes      no       no    no
46   44000    2160        3       1       2       no      no      yes    no
47   41000    3040        2       1       1       no      no       no    no
48   43000    3090        3       1       2       no      no       no    no
49   48000    4960        4       1       3       no      no       no    no
50   54800    3350        3       1       2      yes      no       no    no
51   55000    5300        5       2       2      yes      no       no    no
52   57000    4100        4       1       1       no      no      yes    no
53   68000    9166        2       1       1      yes      no      yes    no
54   95000    4040        3       1       2      yes      no      yes   yes
55   38000    3630        3       3       2       no     yes       no    no
56   25000    3620        2       1       1      yes      no       no    no
57   25245    2400        3       1       1       no      no       no    no
58   56000    7260        3       2       1      yes     yes      yes    no
59   35500    4400        3       1       2      yes      no       no    no
60   30000    2400        3       1       2      yes      no       no    no
61   48000    4120        2       1       2      yes      no       no    no
62   48000    4750        2       1       1      yes      no       no    no
63   52000    4280        2       1       1      yes      no       no    no
64   54000    4820        3       1       2      yes      no       no    no
65   56000    5500        4       1       2      yes     yes      yes    no
66   60000    5500        3       1       2      yes      no       no    no
67   60000    5040        3       1       2      yes      no      yes    no
68   67000    6000        2       1       1      yes      no      yes    no
69   47000    2500        2       1       1       no      no       no    no
70   70000    4095        3       1       2       no     yes      yes    no
71   45000    4095        2       1       1      yes      no       no    no
72   51000    3150        3       1       2      yes      no      yes    no
73   32500    1836        2       1       1       no      no      yes    no
74   34000    2475        3       1       2      yes      no       no    no
75   35000    3210        3       1       2      yes      no      yes    no
